"Proper Winery, US",United States,"[37.09024, -95.712891]"
"Col d'Orcia Winery, Italy","Via Giuncheti, 53024 Montalcino SI, Italy","[42.967171, 11.437808]"
"Flinders Run Winery, Australia","266 Meakins Rd, Flinders VIC 3929, Australia","[-38.452483, 144.957468]"
"Glen Fiona Winery, US","255 Winter Mountain Dr, Andreas, PA 18211, USA","[40.756421, -75.814402]"
"Guarachi Family Winery, US","3148 Soda Canyon Rd, Napa, CA 94558, USA","[38.431053, -122.294381]"
"Bleasdale Winery, Australia","1640 Langhorne Creek Rd, Langhorne Creek SA 5255, Australia","[-35.306358, 139.046794]"
"Magnificent Wine Company Winery, US","2308, 4640 N Pecos St, Denver, CO 80211, United States","[39.780859, -105.00582]"
"Grant Burge Winery, Australia","Krondorf Rd, Tanunda SA 5352, Australia","[-34.5629932, 138.9758893]"
"Coto de Imaz Winery, Spain","Cmno. Viejo Logroño, 26, 01320 Oion, Araba, Spain","[42.4957062, -2.440713]"
"Pontin del Roza Winery, US","35502 N Hinzerling Rd, Prosser, WA 99350, USA","[46.266528, -119.768271]"
"Stefano Lubiana Winery, Australia","60 Rowbottoms Rd, Granton TAS 7030, Australia","[-42.749795, 147.203409]"
"Hollick Winery, Australia","11 Racecourse Rd, Penola SA 5277, Australia","[-37.35515, 140.843008]"
"Huguet de Can Feixes Winery, Spain","Finca Can Feixes, 1, 08718, Barcelona, Spain","[41.4881646, 1.6907484]"
"Sariah Cellars Winery, US","10354 E, 5761, US-290, Fredericksburg, TX 78624, United States","[30.224014, -98.72642499999999]"
"Rutz Winery, US","1410 3rd St, San Rafael, CA 94901, USA","[37.9727883, -122.5326389]"
"Mayo Winery, US","9446, 13101 Arnold Dr, Glen Ellen, CA 95442, United States","[38.370492, -122.5167184]"
"Condes de Albarei Winery, Spain","Lugar A Bouza, 1, 36639 Cambados, Pontevedra, Spain","[42.490134, -8.805195]"
"Gallo of Sonoma Winery, US","3387 Dry Creek Rd, Healdsburg, CA 95448, USA","[38.653248, -122.9202405]"
"Gargiulo Winery, US","575 Oakville Cross Rd, Napa, CA 94558, USA","[38.4540459, -122.3673674]"
"Oliverhill Winery, Australia","307 Seaview Rd, McLaren Vale SA 5171, Australia","[-35.1881691, 138.5360564]"
"Chimney Rock Winery, US","5350 Silverado Trail, Napa, CA 94558, USA","[38.3901848, -122.313842]"
"Joseph Perrier Winery, France","69 Avenue de Paris, 51000 Châlons-en-Champagne, France","[48.952572, 4.344033]"
"Maso Martis Winery, Italy","Via dell'Albera, 52, 38121 Trento TN, Italy","[46.0927269, 11.133657]"
"Rosenhof Winery, Austria","Florianigasse 1, 7142 Illmitz, Austria","[47.7635979, 16.8024002]"
"Taittinger Winery, France","9 Place Saint-Nicaise, 51100 Reims, France","[49.2448034, 4.0462814]"
"Pol Roger Winery, France","Rue Winston Churchill 1, 51200 Épernay, France","[49.0405373, 3.9638141]"
"Petite Sirène Winery, France","10 Route de Giscours, 33460 Labarde, France","[45.0088005, -0.6456436]"
"Louis Chavy Winery, France","27 Rue de Bois, 21190 Puligny-Montrachet, France","[46.9453005, 4.759690099999999]"
"Tinazzi Winery, Italy","Via delle Torbiere, 13, 37017 Lazise VR, Italy","[45.4862183, 10.7743894]"
"Domaine de Pajot Winery, France","32800 Éauze, France","[43.864387, 0.129657]"
"Guyomar Winery, US","1825 Las Tablas Rd, Templeton, CA 93465, USA","[35.5562919, -120.7439893]"
"Due Cani Winery, US","10501 US-36, Easton, MO 64443, USA","[39.7478374, -94.67160489999999]"
"Fleury Winery, France","950 Galleron Rd, Rutherford, CA 94573, USA","[38.481373, -122.424392]"
"Grochau Winery, US","9360 SE Eola Hills Rd, Amity, OR 97101, USA","[45.1048236, -123.1424416]"
"Stama Winery, US","17521 N Davis Rd, Lodi, CA 95242, USA","[38.140915, -121.336355]"
"Tofanelli Family Winery, US","Dunaweal Ln, Calistoga, CA 94515, USA","[38.5711527, -122.5552368]"
"Ugo Lequio Winery, Italy","Via del Molino, 10, 12052 Borgonovo CN, Italy","[44.722448, 8.120112]"
"August Briggs Winery, US","1307 Lincoln Ave, Calistoga, CA 94515, USA","[38.5775125, -122.5796952]"
"Beni di Batasiolo Winery, Italy","Via Annunziata, 87, 12064 La Morra CN, Italy","[44.6413835, 7.9684534]"
"Bulgariana Winery, Bulgaria","1260-B Broadway, Sonoma, CA 95476, USA","[38.2781721, -122.4593431]"
"Cascina Saria Winery, Italy","Via Riofreddo 9, 12052 Neive CN, Italy","[44.719525, 8.139999]"
"Castello di Verduno Winery, Italy","Via Umberto I', 9, 12060 Verduno CN, Italy","[44.66712649999999, 7.9334383]"
"Cave des Grands Crus Blancs Winery, France","100 Terres Neyme, 71680 Vinzelles, France","[46.2739409, 4.7777653]"
"Chateau Burgozone Winery, Bulgaria","11 7, 3341 Leskovets, Bulgaria","[43.7175151, 24.0084348]"
"Barberani Winery, Italy","Vocabolo Mignattaro, 05023 Orvieto, TR, Italy","[42.69553399999999, 12.257169]"
"Château de Tracy Winery, France","Le Château de Tracy, 58150 Tracy-sur-Loire, France","[47.3207251, 2.8928721]"
"Adelaida Winery, US","5805 Adelaida Rd, Paso Robles, CA 93446, USA","[35.645236, -120.802497]"
"Tandem Winery, US","2055 N Setterbo Rd, Suttons Bay, MI 49682, USA","[45.0113352, -85.6597567]"
"Mojon's Bench Winery, US","4152 Locust Ln, Beamsville, ON L0R 1B0, Canada","[43.1588749, -79.4921643]"
"Fattoria Fibbiano Winery, Italy","Via di Fibbiano, 2, 56030 TERRICCIOLA PI, Italy","[43.5220081, 10.7060595]"
"Le Caniette Winery, Italy","Contrada Canali, 23, 63038 Ripatransone AP, Italy","[43.007424, 13.769474]"
"Stony Lonesome Winery, US","4520 State Road 46 East, Nashville, IN 47448, United States","[39.1907426, -86.1617577]"
"Two Paddocks Winery, New Zealand","315 Strode Road, Clyde 9180, New Zealand","[-45.219775, 169.30275]"
"Henry Earl Winery, US","25 E Main St, Walla Walla, WA 99362, USA","[46.0673337, -118.3385103]"
"Original House Wine Winery, US","18351 Corkys Ln, Culpeper, VA 22701, USA","[38.4544965, -77.9129397]"
"Paradise Springs Winery, US","13219 Yates Ford Rd, Clifton, VA 20124, USA","[38.7657063, -77.40509469999999]"
"Cantina Altarocca Winery, Italy","Località Rocca Ripesena, 62, 05018 Orvieto TR, Italy","[42.7230681, 12.0595444]"
"Château Coussin Winery, France","1048 Chemin de Coussin, 13530 Trets, France","[43.4765715, 5.6770044]"
"Domaine Parigot Winery, France","4 Route de Pommard, 21190 Meloisey, France","[47.03022379999999, 4.7348668]"
"Domaine Thierry Drouin Winery, France","71960 Vergisson, France","[46.305865, 4.708495999999999]"
"Marlborough Estate Reserve Winery, New Zealand","Cnr Seaview and Reserve Roads, Seddon, Blenheim, New Zealand New Zealand, New Zealand","[-41.6486109, 174.1315263]"
"Via Giusti Winery, US","7750 Giusti Rd, Forestville, CA 95436, USA","[38.485699, -122.901837]"
"Ingleside Winery, US","5872 Leedstown Rd, Colonial Beach, VA 22443, USA","[38.153703, -77.00492899999999]"
"Kamiak Winery, US","9711, 531 Levey Rd, Pasco, WA 99301, United States","[46.28304, -118.842272]"
"Lunadoro Winery, Italy","Montepulciano, 53045, SI, Italy","[43.1563831, 11.9050785]"
"Millton Winery, New Zealand","4053, 119 Papatu Rd, Manutuke 4072, New Zealand","[-38.676276, 177.897028]"
"Guidi 1929 Winery, Italy","Via Liguria, 15, 53036 Poggibonsi SI, Italy","[43.47101749999999, 11.1215838]"
"Cantina di Soave Winery, Italy","Viale Vittoria, 100, 37047 Soave VR, Italy","[45.4138367, 11.2475519]"
"Casa de Santa Vitoria Winery, Portugal","7800 Santa Vitória, Portugal","[37.8911337, -8.0203347]"
"Domaine Sainte Lucie Winery, France","Chemin de la Colle, 13114 Puyloubier, France","[43.49726, 5.653885]"
"Stomping Girl Winery, US","2064 Gravenstein Hwy N, Sebastopol, CA 95472, USA","[38.4242157, -122.8484378]"
"Talbott Winery, US","25 Pilot Rd, Carmel Valley, CA 93924, USA","[36.4814111, -121.7329607]"
"Clerget Winery, France","21640 Gilly-lès-Cîteaux, France","[47.1793206, 4.9647564]"
"Domaine Pierre Usseglio et Fils Winery, France","10 D68, 84230 Châteauneuf-du-Pape, France","[44.0597879, 4.8298899]"
"Domaine Lafond Winery, France","Route des Vignobles, 30126 Tavel, France","[44.0118223, 4.6946992]"
"Charles Clément Winery, France","Rue Saint-Antoine, 10200 Colombé-le-Sec, France","[48.25521819999999, 4.7955968]"
"Château Siaurac Winery, France","Château Siaurac, 33500 Néac, France","[44.94122600000001, -0.17279]"
"Antica Fratta Winery, Italy","Via Fontana, 11, 25040 Fontana BS, Italy","[45.6236014, 10.103793]"
"Balverne Winery, US","10810 Hillveiw Rd, Windsor, CA 95492, USA","[38.5798345, -122.8162337]"
"Boëté Winery, US","67 E Carmel Valley Rd, Carmel Valley, CA 93924, USA","[36.476034, -121.716085]"
"Briceland Winery, US","5959 Briceland Thorn Rd, Redway, CA 95560, USA","[40.11232, -123.8956651]"
"C.H. Berres Winery, Germany","Würzgartenstraße 41, 54539 Ürzig, Germany","[49.980795, 7.008978000000001]"
"Wattle Creek Winery, US","900 North Point St, San Francisco, CA 94109, USA","[37.8059792, -122.4228344]"
"Lucas & Lewellen Winery, US","1645 Copenhagen Dr, Solvang, CA 93463, USA","[34.5953574, -120.1402422]"
"San Polo Winery, Italy","San Polo, 40, 66014 Crecchio CH, Italy","[42.28747389999999, 14.328336]"
"Auclair Winery, US","18654 142nd Ave NE, Woodinville, WA 98072, USA","[47.7626616, -122.1496009]"
"Bliss Winery, US","1400 Hwy 175, Hopland, CA 95449, USA","[38.974719, -123.0834925]"
"Walla Faces Winery, US","254 Wheat Ridge Ln, Walla Walla, WA 99362, USA","[46.1059383, -118.2409278]"
"Segura Viudas Winery, Spain","Carretera de St. Sadurni d'Anoia a St.Pere de Riudebitlles, km 5, 08775 Torrelavit, Barcelona, Spain","[41.4361319, 1.7422744]"
"Château de Nages Winery, France","Chemin des Canaux, 15 D135, 30132 Caissargues, France","[43.792082, 4.367992]"
"Dante Robere Winery, US","1200 Wetmore Rd, Livermore, CA 94550, USA","[37.6456844, -121.7821115]"
"Dealy Lane Winery, US","1285 Dealy Ln, Napa, CA 94559, USA","[38.2679442, -122.3483097]"
"Domaine des Marrans Winery, France","Domaine des Marrans, 69820 Fleurie, France","[46.177182, 4.692682]"
"Domaine Dupeuble Père et Fils Winery, France","Château des Pertonnières, 69620 Le Breuil, France","[45.894212, 4.588562]"
"Domaine Lagneau Winery, France","941 Cime d'Huire, 69430 Quincié-en-Beaujolais, France","[46.1372604, 4.597828799999999]"
"Jean Becker Winery, France","2 Route d'Ostheim, 68340 Zellenberg, France","[48.1681558, 7.3213246]"
"Alessandro Rivetto Winery, Italy","Fraz. Annunziata Ciotto, 53/B, 12064 La Morra CN, Italy","[44.637337, 7.954062]"
"Brown Estate Winery, US","1005 Coombs St, Napa, CA 94559, USA","[38.298546, -122.287149]"
"Herdade Paço do Conde Winery, Portugal","Herdade Paço do Conde, Monte Paço do Conde, 7801-901, Portugal","[38.00071, -7.67256]"
"Ram's Gate Winery, US","28700 Arnold Dr, Sonoma, CA 95476, USA","[38.173432, -122.448463]"
"Lombardi Winery, US","2 Raffles Ct, Petaluma, CA 94954, USA","[38.244838, -122.592168]"
"Martin Lane Winery, US","5437 Lakeshore Rd, Kelowna, BC V1W 4S5, Canada","[49.7890059, -119.5401105]"
"Stack House Winery, US","1208 S Howard Ave, Tampa, FL 33606, USA","[27.9316028, -82.48285179999999]"
"Brian Benson Winery, US","2915 Limestone Way, Paso Robles, CA 93446, USA","[35.5765306, -120.6882561]"
"Clos Henri Winery, New Zealand","639 State Highway 63, Blenheim 7271, New Zealand","[-41.517028, 173.762941]"
"Domaine Chevillon-Chezeaux Winery, France","41 Rue Henri de Bahezre, 21700 Nuits-Saint-Georges, France","[47.14104349999999, 4.945711]"
"Storm Winery, US","8510 W Fern Mountain Rd, Muskogee, OK 74401, USA","[35.784885, -95.485299]"
"Laurel Glen Winery, US","969 Carquinez Ave, Glen Ellen, CA 95442, USA","[38.3642934, -122.523757]"
"Anglim Winery, US","3340 Ramada Dr suite d, Paso Robles, CA 93446, USA","[35.57343, -120.69689]"
"Escarpment Winery, New Zealand","275 Te Muna Rd, Martinborough 5711, New Zealand","[-41.258548, 175.4856757]"
"Grevino Winery, US","2510 E Clark Ave, Santa Maria, CA 93455, USA","[34.863026, -120.3694429]"
"Hart Winery, US","41300 Ave Biona, Temecula, CA 92591, USA","[33.522582, -117.092262]"
"Innocent Bystander Winery, New Zealand","11 The Octagon, Dunedin, 9016, New Zealand","[-45.8742104, 170.5043329]"
"J. Dumangin Fils Winery, France","3 Rue de Rilly, 51500 Chigny-les-Roses, France","[49.1571398, 4.0619782]"
"La Berrière Winery, France","3575 G Rd, Palisade, CO 81526, USA","[39.10419, -108.389539]"
"King Vintners Winery, US","3336, 6550 Roseland Farm, Crozet, VA 22932, United States","[38.0620908, -78.7282548]"
"Marie Copinet Winery, France","8 Chemin du Plessis, 10370 Villenauxe-la-Grande, France","[48.5833264, 3.5615003]"
"Nicolas Feuillatte Winery, France","Plumecoq, CD 40A, 51530 Chouilly, France","[49.02409369999999, 3.9783864]"
"Ornella Molon Winery, Italy","Via Risorgimento, 40, 31040 Campo di Pietra, Salgareda TV, Italy","[45.70234540000001, 12.5333759]"
"Papapietro Perry Winery, US","4791 Dry Creek Rd, Healdsburg, CA 95448, USA","[38.6729496, -122.9348086]"
"Spangler Winery, US","491 Winery Ln, Roseburg, OR 97471, USA","[43.1456394, -123.3719272]"
"Tinhorn Creek Winery, Canada","537 Tinhorn Creek Road, Oliver, BC V0H 1T1, Canada","[49.153243, -119.5899451]"
"Urlar Winery, New Zealand","Dakins Rd, East Taratahi 5887, New Zealand","[-41.0368621, 175.6396614]"
"Château le Grand Verdus Winery, France","Grand Verdus, 33670 Sadirac, France","[44.7943153, -0.3959353]"
"Château Petit Moulin Winery, France","Château Petit-Village, 33500 Pomerol, France","[44.92422, -0.20065]"
"Cow Bell Winery, US","6200 Washington St, Napa, CA 94558, USA","[38.3906149, -122.3447481]"
"Van Ardi Winery, Armenia","Unnamed Road, 1143, Armenia","[40.2302079, 44.3428337]"
"Lambert Winery, Australia","55 Long Gully Rd, Angaston SA 5353, Australia","[-34.511964, 139.032]"
"Lion-Gri Winery, Moldova","Ciorescu, Moldova","[47.1430456, 28.8885327]"
"McWilliam's Winery, Australia","Jack Mcwilliam Rd, Hanwood NSW 2680, Australia","[-34.3495349, 146.0446769]"
"Minkov Brothers Winery, Bulgaria","8473 Venets, Bulgaria","[42.6440244, 26.7928982]"
"Maple Creek Winery, US","20799 CA-128, Yorkville, CA 95494, USA","[38.9254818, -123.295447]"
"Sunstone Winery, US","125 N Refugio Rd, Santa Ynez, CA 93460, USA","[34.5866651, -120.1033029]"
"Rotari Winery, Italy","Via del Teroldego, 1/E, 38016 Mezzocorona TN, Italy","[46.20267610000001, 11.1221552]"
"Château Thieuley Winery, France","560 Route de Grimard, 33670 La Sauve, France","[44.7669305, -0.329877]"
"Viansa Winery, US","25200 Arnold Dr, Sonoma, CA 95476, USA","[38.208473, -122.451803]"
"Heintz Winery, US","436 St Helena Hwy, St Helena, CA 94574, USA","[38.4906878, -122.4508595]"
"Château Cantelys Winery, France","62 Avenue du Site Montesquieu, 33650 Martillac, France","[44.715318, -0.5656294]"
"Château d'Yquem Winery, France","Château d'Yquem, 33210 Sauternes, France","[44.544703, -0.328734]"
"Château Ferrande Winery, France","Château, Ferrande, 33640 Castres-Gironde, France","[44.693402, -0.4422005]"
"Swanson Winery, US","1271 Manley Ln, Rutherford, CA 94558, USA","[38.45037230000001, -122.4190971]"
"Renieri Winery, Italy","53024 Montalcino SI, Italy","[43.036471, 11.54741]"
"Stratus Winery, Canada","2059 Niagara Stone Rd, Niagara-on-the-Lake, ON L0S 1J0, Canada","[43.2408136, -79.0967188]"
"Thiénot Winery, France","14 Rue des Moissons, 51100 Reims, France","[49.2565441, 4.0426166]"
"Knights Bridge Winery, US","1373 Lincoln Ave, Calistoga, CA 94515, USA","[38.5786056, -122.5793909]"
"Lamiable Winery, France","8 Rue de Condé, 51150 Tours-sur-Marne, France","[49.0481956, 4.125825]"
"Cà La Bionda Winery, Italy","Via Bionda, 4, 37020 Valgatara VR, Italy","[45.54049999999999, 10.9092965]"
"Höpler Winery, Austria","Heideweg 1, 7091 Breitenbrunn, Austria","[47.9409393, 16.7249959]"
"Hovey Winery, US","350 Main St, Murphys, CA 95247, USA","[38.13792309999999, -120.4629984]"
"Wolfberger Winery, France","6 Grand-Rue, 68420 Eguisheim, France","[48.0421083, 7.3100843]"
"Domaine de la Tour du Bon Winery, France","714 Chemin de l'Olivette, 83330 Le Castellet, France","[43.2144212, 5.7684568]"
"Fattoria Laila Winery, Italy","27, Via S. Filippo sul Cesano, 61040 San Filippo Sul Cesano PU, Italy","[43.6762947, 13.0214453]"
"Grace Lane Winery, US","3331 Westpark Dr, Houston, TX 77005, USA","[29.7277388, -95.4309152]"
"Mannina Cellars Winery, US","760 C St, Walla Walla, WA 99362, USA","[46.0919913, -118.271706]"
"Marchetti Winery, Italy","Via di Pontelungo, 166, 60131 Ancona AN, Italy","[43.577787, 13.493627]"
"Accadia Winery, Italy","Contrada Ammorto, 19, Località Castellaro, 60048 Serra San Quirico AN, Italy","[43.435143, 13.0672449]"
"Birgit Braunstein Winery, Austria","Hauptgasse 18, 7083 Purbach am Neusiedler See, Austria","[47.9135377, 16.6939653]"
"Buehler Winery, US","820 Greenfield Rd, St Helena, CA 94574, USA","[38.5133738, -122.3877911]"
"Bellangelo Winery, US","150 Poplar Point Rd, Dundee, NY 14837, USA","[42.566532, -76.91769699999999]"
"Château de Calavon Winery, France","12 Avenue de Badonviller, 13410 Lambesc, France","[43.6553023, 5.2594834]"
"Colli Ripani Winery, Italy","Contrada Tosciano, 28, 63065 Ripatransone AP, Italy","[43.017727, 13.7451089]"
"Hook & Ladder Winery, US","2134 Olivet Rd, Santa Rosa, CA 95401, USA","[38.4725199, -122.8134303]"
"Domaine de la Croix Senaillet Winery, France","En Coland, 71960 Davayé, France","[46.299675, 4.753038]"
"Domaine Dujac Winery, France","7 Rue de la Bussière, 21220 Morey-Saint-Denis, France","[47.1939119, 4.9656939]"
"Haras Winery, Chile","Unnamed Rd,, Pirque, Región Metropolitana, Chile","[-33.7098523, -70.6148896]"
"Korta Katarina Winery, Croatia","Ul. Bana Josipa Jelačića 3, 20250, Orebić, Croatia","[42.9799966, 17.193805]"
"Paul Dolan Winery, US","501 Parducci Rd, Ukiah, CA 95482, USA","[39.2005594, -123.2125428]"
"Portola Vineyards, US","850 Los Trancos Rd, Portola Valley, CA 94028, USA","[37.3714283, -122.1995065]"
"Rendarrio Vineyards, US","2323 Tuley Rd #110, Paso Robles, CA 93446, USA","[35.6440569, -120.6558424]"
"Wrights Station Winery, US","24250 Loma Prieta Ave, Los Gatos, CA 95033, USA","[37.123851, -121.926872]"
"Ziata Winery, US","3070 St Helena Hwy, St Helena, CA 94574, USA","[38.528453, -122.497828]"
"Blackbird Vineyards, US","604 Main St, Napa, CA 94559, USA","[38.296833, -122.283027]"
"Brandl Winery, Austria","Lauser Kellergasse 1, 3561, Austria","[48.497327, 15.7061362]"
"Château d'Aqueria Winery, France","Château d'Aqueria, 30126 Tavel, France","[44.012903, 4.731844]"
"Grüner Veltliner Winery, Austria","Dürnstein 107, 3601 Dürnstein, Austria","[48.3920438, 15.5273688]"
"Tenuta di Biserno Winery, Italy","Piazza Antonio Gramsci, 9, 57020 Bibbona LI, Italy","[43.269901, 10.597825]"
"Yao Family Wines, US","929 Main St, St Helena, CA 94574, USA","[38.5014833, -122.464944]"
"Markowitsch Winery, Austria","Pfarrgasse 8, 2464 Göttlesbrunn-Arbesthal, Austria","[48.0554929, 16.7384209]"
"Alta Maria Winery, US","2933 Grand Ave, Los Olivos, CA 93441, USA","[34.6650175, -120.1150581]"
"Apex Winery, US","590 Merlot Dr, Prosser, WA 99350, USA","[46.22056970000001, -119.7761369]"
"Basalt Winery, US","906 Port Dr, Clarkston, WA 99403, USA","[46.424395, -117.0498848]"
"Vignamato Winery, Italy","Via Battinebbia, 4, 60038 San Paolo di Jesi AN, Italy","[43.45752110000001, 13.1668911]"
"William Grassie Winery, US","19510 144th Ave NE C1, Woodinville, WA 98072, USA","[47.7694233, -122.1464063]"
"Chateau de Pibarnon Winery, France","410 Chemin de la Croix des Signaux, 83740 La Cadière-d'Azur, France","[43.1755355, 5.750541]"
"Château d'Estoublon Winery, France","Route de Maussane, 13990 Fontvieille, France","[43.7356017, 4.7422662]"
